Code,Fluggesellschaft
8A,Arctic Air
8A,Atlas Blue
8A,Panama Airways
8B,Business Air
8B,TransNusa Air Services
8C,Air Transport International
8C,Cotai Water Jet
8C,East Star Airlines
8C,Shan Xi Airlines
8D,Expo Aviation
8D,FitsAir
8D,Interavia Airlines
8D,Servant Air
8E,Bering Air
8E,Easy Fly Express
8F,Cardig Air
8F,STP Airways
8G,Angel Airlines
8G,Gulf & Caribbean Cargo
8G,Mid Africa Aviation
8H,BH Air
8H,Equaflight Service
8I,InselAir Aruba
8I,myair
8J,EcoJet
8J,Jet4you
8J,Kominteravia
8K,K-Mile Air
8L,Cargo Plus Aviation
8L,Lucky Air
8L,Newair
8M,Maxair
8M,Myanmar Airways International
8N,Aerodynamics
8N,Nordkalottflyg
8N,Regional Air Services
8O,West Coast Air
8P,Pacific Coastal Airlines
8P,Payam Aviation Services
8Q,Baker Aviation
8Q,Onur Air
8R,Sol Líneas Aéreas
8S,Scorpio Aviation
8S,Shun Tak-China Travel Ship
8T,Air Tindi
8U,Afriqiyah Airways
8U,Simon Air
8V,Astral Aviation
8V,Wright Air Service
8W,BAX Global
8Y,Air Burundi
8Y,Astro Air International
9A,Eaglexpress Air Charter
9B,AccesRail and Partner Railways
9C,Gill Airways
9C,Spring Airlines
9C,Samair
9D,Perm Airlines
9E,Endeavor Air
9F,Eurostar International
9G,9G Rail
9G,Galaxy Airways
9H,Chang An Airlines
9H,Medavia
9H,Ecoair International
9H,MDLR Airlines
9I,Alliance Air
9J,Dana Airlines
9J,Pacific Island Aviation
9K,Cape Air
9M,Central Mountain Air
9N,Trans States Airlines
9N,Tropic Air
9O,The Cargo Flights
9P,Air Arabia Jordan
9P,Pelangi Airways
9Q,Caicos Express Airways
9Q,PB Air
9R,Phuket Airlines
9R,SATENA
9S,Southern Air
9T,MyCargo Airlines
9T,Transwest Air
9U,Air Moldova
9V,Avior Airlines
9V,Vipair Airlines
9W,Jet Airways
9X,Southern Airways Express
A2,Astra Airlines
A2,Cielos del Perú
A3,Aegean Airlines
A4,Aerocon
A4,Southern Winds
A5,Airlinair
A5,Air France HOP
A5,Tikal Jets
A6,Air Alps
A7,Air Plus Comet
A7,Air Niamey
A8,Aerolíneas Paraguayas
A8,Ameriflight
A8,Benin Golf Air
A9,Georgian Airways
AA,American Airlines
AB,Air Berlin
AB,Bonza Aviation
AC,Air Canada
AD,Air Paradise
AD,Avialeasing Aviation
AD,Azul
AE,Air Ceylon
AE,Air Europe
AE,Iceland Express
AE,Mandarin Airlines
AF,Air France
AG,Air Contractors
AG,Air Ghana
AG,Aruba Airlines
AH,Air Algérie
AI,Air India
AJ,Air Belgium (1979)
AJ,Air Jordan
AJ,Aztec Airways
AK,Air Asia
AK,Airways International Cymru
AL,Air Leisure
AL,Allegheny Airlines
AL,Skyway Airlines
AL,Trans Avia Export
AM,Aeroméxico
AO,Aviaco
AO,AviaNova
AO,Australian Airlines
AP,Air One
AP,Alba Star
AQ,9 Air
AQ,Aloha Airlines
AQ,Aquila Airways
AR,Aerolíneas Argentinas
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Austral
AV,Avianca
AW,Dirgantara Air Services
AW,Schreiner Airways
AW,Venezolana
AX,Trans States Airlines
AY,Finnair
AZ,Alitalia
AZ,ITA Airways
B0,La Compagnie
B1,Bravo Passenger Solutions
B2,Belavia
B3,Bellview Airlines
B4,ZanAir
B4,B.A.C.H. Flugbetrieb
B4,Bankair
B5,Amadeus Flugdienst
B5,Flightline
B6,JetBlue Airways
B7,Uni Air
B8,Eritrean Airlines
B9,Air Bangladesh
B9,Iran Airtour
BA,British Airways
BA,British Overseas Airways Corporation
BB,Seaborne Airlines
BC,Skymark Airlines
BD,British Midland Airways / bmi
BD,Cambodia Bayon Airlines
BE,British European Airways
BE,Flybe
BE,Jersey European Airways
BF,Bluebird Cargo
BF,Aéro-Service
BG,Biman Bangladesh Airlines
BH,Hawkair
BH,Bismillah Airlines
BI,Royal Brunei Airlines
BJ,Bakhtar Afghan Airlines
BJ,Nouvelair
BK,BKS Air Transport
BK,MidAtlantic Airways
BK,Okay Airways
BK,Potomac Air
BL,JetstarPacific
BM,Aero Trasporti Italiani (ATI)
BM,Air Sicilia
BM,Bakhtar Afghan Airline
BM,Bayu Indonesia Air
BM,bmi regional
BN,Braniff International Airways
BN,Braniff
BO,Air Columbus
BO,Bouraq Indonesia Airlines
BP,Air Botswana
BQ,Aeromar Líneas Aéreas Dominicanas
BR,British Caledonian Airways
BR,British United Airways
BR,EVA Air
BS,British International Helicopters
BS,Busy Bee of Norway
BS,CHC Scotia
BS,US-Bangla Airlines
BT,AirBaltic
BU,Braathens
BU,Compagnie Africaine d'Aviation
BU,SAS Norge
BV,Blue Panorama Airlines
BW,BWIA West Indies Airways
BW,Caribbean Airlines
BY,Britannia Airways
BY,Thomsonfly
BY,Thomson Airways
BZ,Blue Bird Airways
BZ,Blue Dart Aviation
BZ,Keystone Air Services
C0,Centralwings
C1,Tectimes Sudamericana
C1,CEIBA Intercontinental
C3,Contact Air
C3,Trade Air
C4,Alma de Mexico
C4,Conquest Air Cargo
C4,Zimex Aviation
C5,Commutair
C6,CanJet Airlines
C6,CHEP Aerospace Solutions
C7,Aero Continente Chile
C7,Cinnamon Air
C7,Rico Linhas Aereas
C8,Cargolux Italia
C8,Chicago Express Airlines
CA,Air China
CA,CAAC
CA,Capital Airlines
CB,Air 1
CB,Scot Airways
CB,Suckling Airways
CB,Trans Caribbean Air
CC,Air Atlanta Icelandic
CC,CM Airlines
CC,MacAir Airlines
CD,Corendon Dutch Airlines
CE,Central African Airways
CE,Chalair Aviation
CE,Nationwide Airlines
CF,China Postal Airlines
CF,City Airline
CF,Faucett Perú
CG,Airlines PNG
CH,Bemidji Airlines
CI,China Airlines
CJ,BA CityFlyer
CJ,China Northern Airlines
CK,China Cargo Airlines
CL,Capitol Air
CL,Lufthansa CityLine
CL,Tempelhof Airways
CM,Copa Airlines
CN,Grand China Air
CN,Islands Nationair
CN,Westward Airways
CN,Torosair
CO,Cobalt Air
CO,Continental Airlines
CP,Canadian Airlines International
CP,Canadian Pacific Air Lines
CP,Compass Airlines
CP,CP Air
CQ,Charterlines
CQ,Coastal Aviation
CQ,Sunshine Express Airlines
CR,OAG Worldwide Limited
CS,Air One CityLiner
CS,Air Sofia
CS,Cambrian Airways
CS,Continental Micronesia
CT,Alitalia CityLiner
CU,Cubana
CV,Air Chathams
CV,Cargolux
CW,Air Cargo Global
CW,Air Marshall Islands
CX,Cathay Pacific
CY,Cyprus Airways
CY,Charlie Airlines Limited dba Cyprus Airways
CZ,Cascade Airways
CZ,China Southern Airlines
D0,DHL Air UK
D2,Damania Airways
D2,Severstal Aircompany
D3,Daallo Airlines
D4,Alidaunia
D4,Dart Airlines
D5,DHL Aero Expreso
D5,NEPC Airlines
D6,Inter Air
D7,AirAsia X
D7,Dinar Líneas Aéreas
D8,Diamond Sakha Airlines
D8,Djibouti Airlines
D8,Norwegian Air International
D8,Norwegian Air Sweden
D9,Aeroflot-Don
D9,Donavia
DA,Daily Air
DA,Dan-Air
DA,Air Georgia
DB,Brit Air
DC,BRA
DC,Sverigeflyg
DD,Amber Airways
DD,Atlantic Coast Jet
DD,Conti-Flug
DD,Nok Air
DE,Condor Flugdienst
DF,AeBal
DF,Condor Berlin
DF,Quantum Air
DG,Custom Air Transport
DH,Atlantic Coast Airlines
DH,DHL Aviation
DH,Independence Air
DH,Norwegian Air Norway
DI,Air Djibouti
DI,dba
DI,Deutsche BA
DI,Norwegian Air UK
DI,Marabu Airlines
DJ,AirAsia Japan
DJ,Nordic European Airlines
DJ,Virgin Australia
DK,Scanair
DK,Premiair
DK,MyTravel Airways
DK,Sunclass Airlines
DK,Thomas Cook Airlines Scandinavia
DL,Delta Air Lines
DM,Asian Air
DM,Maersk Air
DN,Air Exel Belgique
DN,Sénégal Airlines
DO,Air Vallée
DO,Dominicana de Aviación
DP,First Choice Airways
DQ,Air Direct-Connect
DQ,Coastal Air Transport
DR,Air Link
DR,Hyeres Aero Service
DR,Mediterranean Air Service
DR,Ruili Airlines
DS,Das Nordisk
DS,EasyJet Switzerland
DT,TAAG Angola Airways
DU,Hemus Air
DV,Aircompany SCAT
DV,Lufttaxi Flug
DV,Nantucket Airlines
DW,Aero Charter Ukraine
DW,Deutsche Luftverkehrsgesellschaft (DLT)
DW,Dominican Wings
DX,Danish Air Transport
DY,Air Djibouti
DY,Norwegian Air Shuttle
DZ,Air Metro North
DZ,Air Tropical
DZ,Donghai Airlines
DZ,Air Tropical
E0,Eos Airlines
E2,Rio Grande Air
E2,Eurowings Europe (Österreich)
E3,Domodedovo Airlines
E3,New Gen Airways
E4,Aero Asia
E4,Enter Air
E4,Estelar Latinoamerica
E5,Air Arabia Egypt
E6,Eurowings Europe Ltd.
E6,Avia Express Kruiz
E6,Bringer Air Cargo Taxi Aereo
E7,Equaflight Service
E7,Estafeta Carga Aerea
E7,European Aviation Air Charter
E8,Alpi Eagles
E9,AJT Air International
E9,Boston-Maine Airways (1999)
E9,Evelop Airlines
EA,Ándalus Lineas Aéreas
EA,Eastern Air Lines
EA,Eastern Air Lines (2011)
EB,Emery Worldwide Airlines
EB,Wamos Air
EC,Avialeasing Aviation
EC,East African Airways
EC,Heli-Inter
EC,OpenSkies
ED,Airblue
ED,AirExplore
ED,CCAir
EE,Aero Airlines
EE,Regional Jet
EF,Fly Caminter
EG,British Eagle International Airlines
EG,East Air
EG,Enerjet
EG,Japan Asia Airways
EH,Air Nippon Network
EH,ANA Wings
EH,SAETA
EI,Aer Lingus
EJ,Air Atlantis
EJ,European Cargo Services
EJ,New England Airlines
EK,Emirates
EL,Air Nippon
EL,Ellinair
EL,Export Air Cargo
EM,Aero Benin
EM,Empire Airlines
EM,Western Airlines
EN,Air Dolomiti
EN,Cal Air International
EN,Novair International Airways
EO,Air Go Airlines
EO,Express One International
EO,flyCongo
EO,Hewa Bora Airways
EP,Iran Aseman Airlines
EQ,TAME
ER,Astar Air Cargo
ER,DHL Airways
ES,DHL Aviation
ET,Ethiopian Airlines
EU,Ecuatoriana
EU,Chengdu Airlines
EU,United Eagle Airlines
EV,Atlantic Southeast Airlines
EV,ExpressJet Airlines
EW,Eurowings
EX,Excalibur Airways
EX,Thai Express Air
EY,Eagle Air
EY,Etihad Airways
EZ,Evergreen International Airlines
EZ,Sun-Air of Scandinavia
F1,Farelogix
F2,Falcon Air Express
F2,Flyair
F2,Safarilink Aviation
F3,FAI rent-a-jet
F4,Air Flamenco
F4,Shanghai Airlines Cargo
F5,Aerotrans Cargo
F5,Cosmic Air
F6,Zhejiang Airlines
F7,Volare Aviation Enterprise
F7,Darwin Airline
F8,Flair Airlines
F8,Flying Carpet Airlines
F8,Freedom Airlines
F9,Frontier Airlines
FA,Safair
FB,Bulgaria Air
FB,Fine Air
FC,Falcon Express Cargo Airlines
FC,Tempelhof Express Airlines
FC,Flybe Nordic
FC,Viva Colombia
FD,Cityflyer Express
FD,Thai AirAsia
FE,Far Eastern Air Transport
FE,Royal Khmer Airlines
FF,Airshop B.V.
FF,Tower Air
FG,Ariana Afghan Airlines
FH,Freebird Airlines
FI,Icelandair
FJ,Air Pacific
FJ,Fiji Airways
FJ,Fiji Link
FK,Air Sul
FK,Keewatin Air
FK,KF Cargo
FL,AirTran Airways
FM,FedEx / Federal Express
FM,Shanghai Airlines
FN,Fastjet Airlines
FN,Regional Air Lines
FP,TAG Aviation
FQ,Brindabella Airlines
FR,Ryanair
FS,Servicios de Transportes Aéreos Fueguinos (STAF)
FS,Syphax Airlines
FS,Flyr
FT,Fly Egypt
FT,Flying Tiger Line (Flying Tigers)
FT,Siem Reap Airways
FU,Air Littoral
FU,ARTOP Linhas Aéreas
FV,Pulkovo Airlines
FV,Rossija
FV,Viva Air
FW,Ibex Airlines
FX,FedEx / Federal Express
FX,German Cargo
FY,Firefly
FZ,Air Facilities
FZ,Broome Aviation
FZ,Fly Dubai
G2,Avirex
G3,Emerald Airways
G3,Gol Linhas Aéreas
G4,Guizhou Airlines
G4,Allegiant Air
G5,China Express Airlines
G6,Guine Bissau Airlines
G7,Gandalf Airlines
G7,GoJet Airlines
G8,GoAir
G9,Air Arabia
G9,Gol Linhas Aéreas
GA,Garuda Indonesia
GB,Airborne Express
GB,ABX Air
GC,Gambia International Airlines
GC,Global Feeder Services
GD,Grandstar Cargo
GE,TransAsia Airways
GF,Gulf Air
GG,Air Guyane
GG,Air Holland
GG,Cargo 360
GG,Sky Lease Cargo
GH,Ghana Airways
GH,Globus Airlines
GI,Itek Air
GJ,Eurofly
GJ,Zhejiang Loong Airlines
GK,Jetstar Japan
GL,Air Greenland
GL,AirGlow Aviation Services
GL,Miami Air International
GM,Air Slovakia
GM,Germania Flug
GM,Tri-MG Intra Asia Airlines
GN,Air Gabon
GO,Go Fly
GO,ULS Airlines Cargo
GP,Gestair Executive Jet
GP,Pantanal Linhas Aéreas
GQ,Big Sky Airlines
GQ,Sky Express SA
GR,Aurigny Air Services
GR,Gemini Air Cargo
GS,Airfoyle
GS,Grant Aviation
GS,Tianjin Airlines
GT,GB Airways
GU,Aviateca
GW,Kuban Airlines
GX,GX Airlines
GX,Pacificair
GY,Colorful Guizhou Airlines
GY,Gabon Airlines
GY,Guyana Air
GY,Guyana Air 2000
GZ,Air Rarotonga
H1,Hahn Air Systems
H1,Hooters Air
H2,City Bird
H2,Sky Airline
H3,Harbour Air
H4,Inter Islands Airlines
H4,HiSky Europe
H5,Mavial Magadan Airlines
H5,I-Fly
H6,Bulgarian Air Charter
H6,Chelyabinsk Air Enterprise
H6,Hageland Aviation Service
H7,Eagle Air
H7,HiSky Moldova
H8,Dalavia
H9,Himalaya Airlines
H9,Pegasus Airlines
HA,Hawaiian Airlines
HB,Asia Atlantic Airlines
HB,Harbor Airlines
HC,Aero Tropics Air Services
HD,Air Do
HD,Air Holland
HD,Hokkaido International Airlines
HE,German Airways
HE,LGW Luftfahrtgesellschaft Walter
HE,Trans European Airways (TEA)
HF,Air Côte d’Ivoire
HF,Hapag-Lloyd Flug
HG,Niki Luftfahrt
HH,Air Hamburg
HH,Islandsflug
HH,Somali Airlines
HH,Taban Air
HI,Papillon Airways
HI,Papillon Crand Canyon Helicopters
HJ,Air Haiti
HJ,Asian Express Airlines
HJ,Swedeways
HJ,Tasman Cargo Airlines
HK,Four Star Air Cargo
HK,Hamburg Airways
HK,Skippers Aviation
HK,Yangon Airways
HL,Holiday Express
HM,Air Seychelles
HN,Heston Airlines
HN,HeavyLift Cargo Airlines
HN,Proteus Helicopters
HN,NLM City Hopper
HO,Antinea Airlines
HO,Juneyao Airlines
HP,Amapola Flyg
HP,America West Airlines
HQ,Thomas Cook Belgium Airlines
HR,Hahn Air Lines
HT,Hellenic Imperial Airways
HT,Ningxia Cargo Airlines
HT,Royal Airways
HU,Hainan Airlines
HV,Transavia Airlines
HW,Hello
HW,FlyErbil
HW,Holiday Airlines
HW,North-Wright Airways
HX,Trans North Aviation
HX,Hong Kong Airlines
HY,Uzbekistan Airways
HZ,Aurora Airlines
HZ,SAT Airlines
I2 ,Iberia Express
I4,I-Fly
I4,Island Air Express
I5,AirAsia India
I7,Inter Îles Air
I8,Izhavia
I9,Air Italy (2005)
IA,Iraqi Airways
IB,Iberia
IC,Indian Airlines
ID,Air Normandie
ID,Batik Air
IE,Solomon Airlines
IF,Contract Air Cargo
IF,Fly Baghdad Airlines
IF,Islas Airways
IF,Italy First
IF,Interflug
IG,Alisarda
IG,Meridiana
IH,Aerolinee Itavia
IH,Falcon Air
IJ,Air Liberté
IJ,Great Wall Airlines
IJ,Spring Airlines Japan
IK,Air Kiribati
IK,IKAR
IK,Pegas Fly
IK,Imair Airlines
IL,Istanbul Airlines
IL,Trigana Air Service
IL,Aircompany ATMA
IM,Intensive Air
IN,Macedonian Airlines MAT
IN,NAM Air
IP,Atyrau Airways
IP,Inter European Airways
IP,Orbest Orizonia Airlines
IP,Transportes Aéreos da Índia Portuguesa
IQ,Augsburg Airways
IQ,Qazaq Air
IR,Iran Air
IS,Island Airlines
IS,Sunways Intersun
IT,Air Inter
IT,Kingfisher Airlines
IT,Tigerair Taiwan
IV,VG Airlines
IV,VVB Aviation Malta
IV,Wind Jet
IW,Air Lib
IW,AOM French Airlines
IW,Wings Abadi Airlines
IY,Yemenia
IZ,Arkia Israeli Airlines
J1,One Jet
J2,Azerbaijan Airlines
J3,Northwestern Air
J4,Badr Airlines
J4,Buffalo Airways
J5,Alaska Seaplane Service
J6,Avcom Commercial Aviation
J6,Jet Ops
J6,Larry’s Flying Service
J7,Centre-Avia
J7,ValuJet
J8,Berjaya Air
J9,Jazeera Airways
JA,JetSmart
JA,Air Bosna
JA,B&H Airlines
JB,Helijet International
JC,Japan Air Commuter
JC,JAL Express
JD,Japan Air System
JD,Beijing Capital Airlines
JE,Arab Airways (Jerusalem)
JE,Jettainer
JE,Mango
JE,Manx Airlines
JF,Jetairfly
JF,LAB Flying Service
JG,Jetgo Australia
JH,Fuji Dream Airlines
JH,Harlequin Air
JI,Jade Cargo International
JI,Meraj Air
JJ,TAM Linhas Aéreas
JJ,LATAM Brasil
JK,Spanair
JL,Japan Airlines
JM,Air Jamaica
JN,Jordan Airways
JN,Livingston Compagnia Aerea
JN,Rich International Airways
JN,XL Airways UK
JO,JALways
JP,Adria Airways
JP,Inex-Adria Aviopromet
JQ,Air Jamaica Express
JQ,Jetstar Airways
JQ,Alba Star
JR,Aero California
JR,Joy Air
JS,Air Koryo
JT,Lion Air
JT,Transair
JU,Air Serbia
JU,JAT Airways
JU,Jugoslovenski Aerotransport
JV,Bearskin Airlines
JW,Arrow Air
JW,Skippers Aviation
JW,Vanilla Air
JX,DAC Aviation
JX,Nice Helicopters
JY,Inter Caribbean Airways
JZ,Skyways
K1,Topas
K2,EuroLOT
K3,SAC
K3,Taquan Air
K4,Kalitta Air
K5,SeaPort Airlines
K5,Wings of Alaska
K6,Cambodia Angkor Air
K6,Khalifa Airways
K7,Air KBZ
K7,Sakha Avia
K8,InterJet West
K8,Kan Air
K8,Zambia Skyways
K9,Kalitta Charters
K9,Krylo Aviakompania
K9,Skyward Aviation
KA,Cathay Dragon
KB,Drukair
KC,Air Astana
KC,Conair of Scandinavia
KD,Kal Star Aviation
KD,KD Avia
KD,Kendell Airlines
KD,Regional Express Airlines
KD,Western Global Airlines
KE,Korean Air
KF,Air Belgium (2016)
KF,Air Botnia
KF,Blue1
KG,Caledonian Airways
KG,Key Lime Air
KG,Línea Aérea IAACA (LAI)
KG,Orion Airways
KH,Aloha Air Cargo
KI,Adam Air
KI,Contact Air
KI,KrasAvia
KJ,Air Incheon
KJ,British Mediterranean Airways
KJ,Sultan Air
KK,AtlasGlobal
KL,KLM – Royal Dutch Airlines
KM,Air Malta
KN,China United Airlines
KN,Maroomba Airlines
KN,Moris Air
KO,Alaska Central Express
KO,Khors Air Company
KO,Komiaviatrans
KP,Asky Airlines
KQ,Kenya Airways
KR,Air Bishkek
KR,Karair
KR,Kitty Hawk Air Cargo
KS,Penair
KT,Kampuchea Airlines
KU,Kuwait Airways
KV,Kavminvodyavia (KMV)
KW,Kelowna Flightcraft
KW,KAS Air Company
KX,Cayman Airways
KY,Air São Tomé and Príncipe
KY,Kunming Airlines
KZ,Nippon Cargo Airlines
L1,Airlliance
L1,Lufthansa Systems
L2,Lynden Air Cargo
L3,DHL de Guatemala
L4,Lauda Air Italia
L5,Atlantique Air Assistance
L5,CHC Helicopter Service
L6,Mauritania Airlines International
L7,LAN Cargo Colombia
L7,Laoag International Airlines
L8,Afric Aviation
L9,Compagnie Aérienne du Mali
L9,Air Mali (2009)
L9,Bristow US
L9,Belle Air Europe
LA,LAN Airlines
LA,Lan Chile
LB,Air Costa
LB,Lloyd Aéreo Boliviano
LC,Varig Log
LC,Equatorial Congo Airlines
LD,Air Hong Kong
LD,Línea Turística Aereotuy
LE,Helgoland Airlines
LF,Corporate Flight Management
LF,Linair
LF,Linjeflyg
LG,Luxair
LH,Lufthansa
LH,Lufthansa Cargo
LH,Lufthansa Italia
LI,LIAT
LI,ETF Airways
LJ,Jin Air
LJ,Sierra National Airlines
LK,Air Luxor
LL,Líneas Aéreas Allegro
LL,Miami Air International
LM,Air ALM
LM,Livingston Energy Flight
LM,Loganair
LN,Libyan Airlines
LN,Libyan Arab Airlines
LO,LOT Polish Airlines / Polskie Linie Lotnicze
LP,LAN Perú
LR,Avianca Costa Rica
LR,Lacsa
LS,Channel Express
LS,Iliamna Air Taxi
LS,Jet2.com
LT,Air Lituanica
LT,LTU
LU,LAN Express
LV,Albanian Airlines
LV,Latavio
LV,Mega Maldives Airlines
LW,Pacific Wings
LX,Crossair
LX,Swiss International Air Lines
LY,El Al
LZ,Balkan Bulgarian Airlines
LZ,Belle Air
LZ,Swiss Global Air Lines
M0,Aero Mongolia
M2,Mahfooz Aviation
M2,MHS Aviation
M2,Millon Express
M3,North Flying
M3,TAM Cargo
M4,Avioimpex
M4,Mistral Air
M4,Poste Air Cargo
M5,Kenmore Air
M6,Amerijet International
M7,MAS Air Cargo
M7,Superior Aviation Services
M8,Med Airlines
M8,Moscow Airways
M8,Skyjet Airlines
M8,Trans Maldivian Airways
M9,ModiLuft
M9,Motor Sich Airlines
MA,Malév
MB,Execaire
MB,MNG Airlines
MC,Air Mobility Command
MD,Madagascar Airlines
ME,Middle East Airlines (MEA)
